satellite,fuel_cost_kg,revenue_usd
SAT-001,12.82,1739
SAT-002,14.86,16149
SAT-003,4.54,48365
SAT-004,2.14,48640
SAT-005,17.85,5797
SAT-006,11.85,2182
SAT-007,0.69,14428
SAT-008,4.73,39553
SAT-009,0.63,13131
SAT-010,14.35,46062
SAT-011,10.94,14546
SAT-012,9.04,18331
SAT-013,16.21,525
SAT-014,15.2,10563
SAT-015,13.99,22398
SAT-016,5.63,14210
SAT-017,19.15,22159
SAT-018,2.13,24998
SAT-019,2.02,22641
SAT-020,12.11,2947
SAT-021,14.62,35242
SAT-022,2.58,24907
SAT-023,1.67,19313
SAT-024,16.61,40635
SAT-025,17.72,23800
SAT-026,11.59,46274
SAT-027,1.48,43436
SAT-028,4.64,19065
SAT-029,19.71,15356
SAT-030,17.34,25011
SAT-031,5.63,41760
SAT-032,16.7,10759
SAT-033,7.47,13830
SAT-034,13.44,46094
SAT-035,18.74,42569
SAT-036,1.52,41713
SAT-037,3.51,47884
SAT-038,4.97,30394
SAT-039,7.65,42043
SAT-040,13.79,14492
SAT-041,13.72,3765
SAT-042,4.66,2203
SAT-043,16.12,26390
SAT-044,5.43,13926
SAT-045,18.27,37270
SAT-046,17.54,20722
SAT-047,4.33,32817
SAT-048,7.97,42229
SAT-049,9.23,17459
SAT-050,2.88,48923
SAT-051,11.27,17319
SAT-052,14.97,28177
SAT-053,17.97,26275
SAT-054,7.3,9165
SAT-055,10.24,6057
SAT-056,15.14,7285
SAT-057,3.14,10584
SAT-058,15.86,27766
SAT-059,11.97,25316
SAT-060,7.69,30774
SAT-061,10.63,36356
SAT-062,17.23,852
SAT-063,13.64,7607
SAT-064,13.67,35290
SAT-065,15.04,42106
SAT-066,6.87,19334
SAT-067,8.75,29835
SAT-068,0.16,47423
SAT-069,17.53,17361
SAT-070,19.44,11808
SAT-071,10.2,7073
SAT-072,17.42,19658
SAT-073,16.85,33370
SAT-074,12.22,10116
SAT-075,7.54,10687
SAT-076,10.83,34857
SAT-077,18.38,39352
SAT-078,6.55,1376
SAT-079,2.33,23888
SAT-080,17.59,20253
SAT-081,4.87,15885
SAT-082,17.57,5261
SAT-083,1.8,31949
SAT-084,16.34,49946
SAT-085,10.7,8341
SAT-086,2.65,31248
SAT-087,18.94,10921
SAT-088,5.37,39853
SAT-089,8.52,13980
SAT-090,18.59,49597
SAT-091,14.63,13282
SAT-092,14.29,26248
SAT-093,19.9,42690
SAT-094,7.53,34019
SAT-095,9.08,16346
SAT-096,4.57,22256
SAT-097,0.52,36401
SAT-098,4.68,14532
SAT-099,0.24,46489
SAT-100,12.66,15103
SAT-101,1.44,2158
SAT-102,17.21,4743
SAT-103,10.33,18350
SAT-104,13.41,14140
SAT-105,10.83,47505
SAT-106,18.72,37523
SAT-107,11.57,16025
SAT-108,15.71,26777
SAT-109,3.89,6452
SAT-110,13.21,23319
SAT-111,8.53,30706
SAT-112,17.29,3650
SAT-113,13.5,42448
