satellite,fuel_cost_kg,revenue_usd
SAT-001,9.68,43752
SAT-002,11.64,19685
SAT-003,14.02,27687
SAT-004,15.06,10754
SAT-005,7.31,34590
SAT-006,9.15,25667
SAT-007,11.95,15580
SAT-008,14.6,30795
SAT-009,5.33,12892
SAT-010,4.62,39604
SAT-011,13.5,45163
SAT-012,3.43,29740
SAT-013,10.46,26809
SAT-014,12.23,16760
SAT-015,0.52,4586
SAT-016,13.56,20218
SAT-017,8.02,5815
SAT-018,11.68,1034
SAT-019,1.36,16180
SAT-020,5.18,36956
SAT-021,9.62,409
SAT-022,17.86,17017
SAT-023,13.03,28586
SAT-024,16.68,11295
SAT-025,5.86,28666
SAT-026,2.93,43615
SAT-027,12.52,6625
SAT-028,4.4,17483
SAT-029,4.78,45647
SAT-030,17.53,11182
SAT-031,8.75,15340
SAT-032,12.14,10882
SAT-033,14.9,20730
SAT-034,14.98,40880
SAT-035,1.93,6288
SAT-036,10.96,6839
SAT-037,15.65,6713
SAT-038,9.79,33823
SAT-039,10.15,17351
SAT-040,1.46,33915
SAT-041,13.97,181
SAT-042,13.38,24437
SAT-043,5.62,30872
SAT-044,6.68,33200
SAT-045,4.18,20449
SAT-046,17.29,6165
SAT-047,15.91,8904
SAT-048,15.36,49225
SAT-049,8.3,4779
SAT-050,2.84,26621
SAT-051,11.97,14369
SAT-052,8.29,25896
SAT-053,7.41,3517
SAT-054,8.71,35016
SAT-055,7.1,29019
SAT-056,0.92,35496
SAT-057,15.66,18104
SAT-058,6.24,1551
SAT-059,11.34,29073
SAT-060,9.85,18483
SAT-061,13.45,21116
SAT-062,16.85,2630
SAT-063,13.22,11491
SAT-064,16.34,45447
SAT-065,6.32,29024
SAT-066,9.19,27288
SAT-067,14.98,28910
SAT-068,17.66,26153
SAT-069,16.59,35269
SAT-070,11.65,10033
SAT-071,10.73,19168
SAT-072,15.36,18832
SAT-073,13.97,13455
SAT-074,12.61,32120
SAT-075,4.92,23540
SAT-076,1.74,29106
SAT-077,4.3,20093
SAT-078,11.02,42428
SAT-079,14.02,134
SAT-080,1.42,4106
SAT-081,15.75,16260
SAT-082,18.73,48580
SAT-083,6.63,40382
SAT-084,3.13,13679
SAT-085,7.56,47642
SAT-086,8.23,27669
SAT-087,13.62,27481
SAT-088,1.72,29900
SAT-089,3.84,38544
SAT-090,9.28,8596
SAT-091,11.25,46396
SAT-092,1.8,3559
SAT-093,4.68,43357
SAT-094,2.12,39047
SAT-095,1.35,6982
SAT-096,13.76,23869
SAT-097,1.14,8579
SAT-098,13.46,21216
SAT-099,1.99,20759
SAT-100,9.37,21540
SAT-101,2.31,14586
SAT-102,16.26,21078
SAT-103,16.06,4711
SAT-104,7.61,14728
SAT-105,0.94,46112
SAT-106,3.75,12822
SAT-107,19.03,28098
SAT-108,3.68,5038
SAT-109,4.11,38173
SAT-110,14.48,31800
SAT-111,17.44,890
SAT-112,10.14,40481
SAT-113,11.42,26069
